index,name,description,eso_link,img,reverse
129,Knight of Disks Reversed,,http://www.esotericmeanings.com/knight-of-disks-thoth-tarot-card-tutorial/,64,TRUE
130,Queen of Disks,,http://www.esotericmeanings.com/queen-of-disks-thoth-tarot-card-tutorial/,65,FALSE
131,Queen of Disks Reversed,,http://www.esotericmeanings.com/queen-of-disks-thoth-tarot-card-tutorial/,65,TRUE
132,Prince of Disks,,http://www.esotericmeanings.com/prince-of-disks-thoth-tarot-card-tutorial/,66,FALSE
133,Prince of Disks Reversed,,http://www.esotericmeanings.com/prince-of-disks-thoth-tarot-card-tutorial/,66,TRUE
134,Princess of Disks,,http://www.esotericmeanings.com/princess-of-disks-thoth-tarot-card-tutorial/,67,FALSE
135,Princess of Disks Reversed,,http://www.esotericmeanings.com/princess-of-disks-thoth-tarot-card-tutorial/,67,TRUE
136,Ace of Disks,,http://www.esotericmeanings.com/ace-of-disks-thoth-tarot-card-tutorial/,68,FALSE
137,Ace of Disks Reversed,,http://www.esotericmeanings.com/ace-of-disks-thoth-tarot-card-tutorial/,68,TRUE
138,Two of Disks,Change,http://www.esotericmeanings.com/two-of-disks-thoth-tarot-card-tutorial/,69,FALSE
139,Two of Disks Reversed,Change,http://www.esotericmeanings.com/two-of-disks-thoth-tarot-card-tutorial/,69,TRUE
140,Three of Disks,Works,http://www.esotericmeanings.com/three-of-disks-thoth-tarot-card-tutorial/,70,FALSE
141,Three of Disks Reversed,Works,http://www.esotericmeanings.com/three-of-disks-thoth-tarot-card-tutorial/,70,TRUE
142,Four of Disks,Power,http://www.esotericmeanings.com/four-of-disks-thoth-tarot-card-tutorial/,71,FALSE
143,Four of Disks Reversed,Power,http://www.esotericmeanings.com/four-of-disks-thoth-tarot-card-tutorial/,71,TRUE
144,Five of Disks,Worry,http://www.esotericmeanings.com/five-of-disks-thoth-tarot-card-tutorial/,72,FALSE
145,Five of Disks Reversed,Worry,http://www.esotericmeanings.com/five-of-disks-thoth-tarot-card-tutorial/,72,TRUE
146,Six of Disks,Success,http://www.esotericmeanings.com/six-of-disks-thoth-tarot-card-tutorial/,73,FALSE
147,Six of Disks Reversed,Success,http://www.esotericmeanings.com/six-of-disks-thoth-tarot-card-tutorial/,73,TRUE
148,Seven of Disks,Failure,http://www.esotericmeanings.com/seven-of-disks-thoth-tarot-card-tutorial/,74,FALSE
149,Seven of Disks Reversed,Failure,http://www.esotericmeanings.com/seven-of-disks-thoth-tarot-card-tutorial/,74,TRUE
150,Eight of disks,Prudence,http://www.esotericmeanings.com/eight-of-disks-thoth-tarot-tutorial/,75,FALSE
151,Eight of disks Reversed,Prudence,http://www.esotericmeanings.com/eight-of-disks-thoth-tarot-tutorial/,75,TRUE
152,Nine of Disks,Gain,http://www.esotericmeanings.com/nine-of-disks-thoth-tarot-card-tutorial/,76,FALSE
153,Nine of Disks Reversed,Gain,http://www.esotericmeanings.com/nine-of-disks-thoth-tarot-card-tutorial/,76,TRUE
154,Ten of Disks,Wealth,http://www.esotericmeanings.com/ten-of-disks-thoth-tarot-card-tutorial/,77,FALSE
155,Ten of Disks Reversed,Wealth,http://www.esotericmeanings.com/ten-of-disks-thoth-tarot-card-tutorial/,77,TRUE

